card_name	set_name	printing
Volcanic Island	Revised Edition	
Highspire Mantis	Khans of Tarkir	Foil
Trading Post	Magic 2013 (M13)	
Illusory Gains	Dragons of Tarkir	
Illusory Gains	Dragons of Tarkir	
Illusory Gains	Dragons of Tarkir	
Prognostic Sphinx	Theros	
Prognostic Sphinx	Theros	
Stormtide Leviathan	Magic 2015 (M15)	
Stormtide Leviathan	Magic 2015 (M15)	
Stormtide Leviathan	Magic 2015 (M15)	
Flamerush Rider	Fate Reforged	
Ooze Flux	Gatecrash	
Vinelasher Kudzu	Jace vs. Vraska	
Obzedat's Aid	Dragon's Maze	
Obzedat's Aid	Dragon's Maze	
Magnetic Mountain	Fourth Edition	
Coral Helm	Fourth Edition	
Triangle of War	Visions	
Titania's Song	Fourth Edition	
Titania's Song	Fourth Edition	
Tempest Efreet	Fourth Edition	
Fungus Elemental	Weatherlight	
Aven Skirmisher	Fate Reforged	Foil
Furnace Whelp	Magic 2015 (M15)	
Fyndhorn Elder	Fifth Edition	
Krovikan Vampire	Ice Age	
Krovikan Vampire	Ice Age	
Krovikan Vampire	Ice Age	
Krovikan Vampire	Ice Age	
Atog	Fifth Edition	
Atog	Fifth Edition	
Longbow Archer	Visions	
Aether Flash	Weatherlight	
Yeva's Forcemage	Magic 2013 (M13)	Foil
Sleight of Mind	Revised Edition	
Sleight of Mind	Revised Edition	
Sleight of Mind	Revised Edition	
Sleight of Mind	Revised Edition	
Scatter the Seeds	Modern Masters 2015	Foil
Planeswalker Checklist Card	Magic Origins	
Planeswalker Checklist Card	Magic Origins	
Planeswalker Checklist Card	Magic Origins	
Aether Flash	Weatherlight	
Bazaar Krovod	Return to Ravnica	Foil
Sandcrafter Mage	Dragons of Tarkir	Foil
Deathgaze Cockatrice	Magic 2014 (M14)	Foil
Deathgaze Cockatrice	Magic 2014 (M14)	Foil
Deathgaze Cockatrice	Magic 2014 (M14)	Foil
Dutiful Attendant	Dragons of Tarkir	Foil
Lose Calm	Dragons of Tarkir	Foil
Plummet	Battle for Zendikar	Foil
Herald of Anafenza	Khans of Tarkir	
Herald of Anafenza	Khans of Tarkir	
Herald of Anafenza	Khans of Tarkir	
Palisade Giant	Return to Ravnica	
Scion of Vitu-Ghazi	Dragon's Maze	
Scion of Vitu-Ghazi	Dragon's Maze	
Twinflame	Journey into Nyx	
Spawnwrithe	Jace vs. Vraska	
Trail of Mystery	Khans of Tarkir	
Trail of Mystery	Khans of Tarkir	
Trail of Mystery	Khans of Tarkir	
Sultai Ascendancy	Khans of Tarkir	
Unexpected Results	Gatecrash	
Hand to Hand	Tempest	
Hand to Hand	Tempest	
Mishra's War Machine	Fourth Edition	
Mishra's War Machine	Fourth Edition	
Lifelace	Fourth Edition	
Carnassid	Stronghold	
Flying Carpet	Fourth Edition	
Jade Monolith	Fourth Edition	
Jade Monolith	Fourth Edition	
Jeering Instigator	Khans of Tarkir	
Kheru Spellsnatcher	Khans of Tarkir	
Disrupting Scepter	Revised Edition	
Augur of Skulls	Future Sight	
Stupor	Mirage	
Primal Clay	Fifth Edition	
Psychic Surgery	New Phyrexia	
Psychic Surgery	New Phyrexia	
Psychic Surgery	New Phyrexia	
Psychic Surgery	New Phyrexia	
Ghirapur Aether Grid	Magic Origins	
Temple of the False God	Commander 2013	
Rod of Ruin	Magic 2014 (M14)	Foil
Scholar of Athreos	Theros	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Dictate of the Twin Gods	Launch Party Cards	Foil
Mass Calcify	Magic 2015 (M15)	
Mass Calcify	Magic 2015 (M15)	
Mass Calcify	Magic 2015 (M15)	
Mass Calcify	Magic 2015 (M15)	
Mass Calcify	Magic 2015 (M15)	
Mass Calcify	Magic 2015 (M15)	
Mass Calcify	Magic 2015 (M15)	
Hypnotic Siren	Journey into Nyx	
Kheru Spellsnatcher	Khans of Tarkir	
Kheru Spellsnatcher	Khans of Tarkir	
Kheru Spellsnatcher	Khans of Tarkir	
Kheru Spellsnatcher	Khans of Tarkir	
Spelltwine	Jace vs. Vraska	
Defiant Bloodlord	Battle for Zendikar	
Herald of Torment	Born of the Gods	
Herald of Torment	Born of the Gods	
Nighthowler	Theros	
Nighthowler	Theros	
Howl of the Horde	Khans of Tarkir	
Howl of the Horde	Khans of Tarkir	
Howl of the Horde	Khans of Tarkir	
Howl of the Horde	Khans of Tarkir	
Jeering Instigator	Khans of Tarkir	
Jeering Instigator	Khans of Tarkir	
Deadbridge Goliath	Return to Ravnica	
Clan Defiance	Gatecrash	
Duneblast	Khans of Tarkir	
Duneblast	Khans of Tarkir	
Duneblast	Khans of Tarkir	
Duneblast	Khans of Tarkir	
Duneblast	Khans of Tarkir	
Kheru Lich Lord	Khans of Tarkir	
Kheru Lich Lord	Khans of Tarkir	
Trap Essence	Khans of Tarkir	
Dwarven Armory	Ice Age	
Fool's Tome	Tempest	
Urza's Avenger	Fourth Edition	
Dragon-Style Twins	Khans of Tarkir	
Alabaster Kirin	Khans of Tarkir	Foil
Bring Low	Khans of Tarkir	Foil
Mask of the Mimic	Stronghold	
Mask of the Mimic	Stronghold	
Spirit Link	Fourth Edition	
Fire Diamond	Mirage	
Gut Shot	Modern Masters 2015	
Dread Defiler	Oath of the Gatewatch	
Predict	Odyssey	
Predict	Odyssey	
Predict	Odyssey	
Predict	Odyssey	
Maze Abomination	Dragon's Maze	Foil
Rite of the Serpent	Khans of Tarkir	Foil
Act of Treason	Magic 2014 (M14)	Foil
Shatter	Khans of Tarkir	Foil
Dragon-Style Twins	Khans of Tarkir	
Dragon-Style Twins	Khans of Tarkir	
Meandering Towershell	Khans of Tarkir	
Meandering Towershell	Khans of Tarkir	
Quirion Dryad	Magic 2013 (M13)	
Alms Beast	Gatecrash	
Ankle Shanker	Khans of Tarkir	
Ankle Shanker	Khans of Tarkir	
Rakshasa Vizier	Khans of Tarkir	
Rakshasa Vizier	Khans of Tarkir	
Rubblebelt Raiders	Gatecrash	
Vedalken Mastermind	Fifth Dawn	
Vedalken Mastermind	Fifth Dawn	
Vedalken Mastermind	Fifth Dawn	
Vedalken Mastermind	Fifth Dawn	
Whispering Madness	Gatecrash	
Armageddon Clock	Fourth Edition	
Trait Doctoring	Dragon's Maze	
Dictate of the Twin Gods	Journey into Nyx	
Necropolis Fiend	Khans of Tarkir	
Temur Ascendancy	Khans of Tarkir	
Temur Ascendancy	Khans of Tarkir	
Temur Ascendancy	Khans of Tarkir	
Opulent Palace	Khans of Tarkir	
Opulent Palace	Khans of Tarkir	
Whispering Madness	Gatecrash	
Mardu Shadowspear	Fate Reforged	
Vision Charm	Visions	
Blight	Fourth Edition	
Blight	Fourth Edition	
Kismet	Fifth Edition	
Kismet	Fifth Edition	
Hamletback Goliath	Magic 2013 (M13)	
Jackal Pup	Tempest	
Jackal Pup	Tempest	
Jackal Pup	Tempest	
Abduction	Weatherlight	
Man-o'-War	Visions	
Man-o'-War	Visions	
Man-o'-War	Visions	
Opulent Palace	Khans of Tarkir	
Opulent Palace	Khans of Tarkir	
Necropolis Fiend	Khans of Tarkir	
Ashen Ghoul	Ice Age	
Ashen Ghoul	Ice Age	
Ashen Ghoul	Ice Age	
Ashen Ghoul	Ice Age	
